id,identity_to_query
UniRef100_UPI003080B84D/139-393,0.356
UniRef100_UPI003080AB7C/139-393,0.356
UniRef100_UPI00189CF25A/164-418,0.356
UniRef100_UPI00189D623D/164-418,0.356
UniRef100_A0A6G1PKU2/136-390,0.360
UniRef100_UPI0018A095DE/144-398,0.356
UniRef100_UPI001ABEB0EB/199-448,0.395
UniRef100_UPI003080A7D9/139-393,0.356
UniRef100_UPI001CF1E015/199-448,0.395
UniRef100_UPI003080C135/139-393,0.356
UniRef100_UPI0020D1B8D1/139-393,0.356
UniRef100_UPI0020CFFA3A/139-393,0.356
UniRef100_UPI00189F1E55/164-418,0.356
UniRef100_UPI0020D025CC/139-393,0.356
UniRef100_UPI00214E5137/139-393,0.356
UniRef100_UPI0020D03154/139-393,0.356
UniRef100_UPI00189CE5A9/164-418,0.356
UniRef100_A0A151MFT5/70-319,0.395
UniRef100_UPI0020D1E1C0/139-393,0.356
UniRef100_UPI00214F3403/139-393,0.356
UniRef100_UPI00071A5C10/65-314,0.395
UniRef100_UPI0020D01754/139-393,0.356
UniRef100_UPI0024C22858/218-468,0.402
UniRef100_UPI00214E8BA1/139-393,0.356
UniRef100_UPI0020D150E9/139-393,0.356
UniRef100_UPI0030810CD4/139-393,0.356
UniRef100_UPI0009B3D86A/139-393,0.349
UniRef100_UPI00189FAE07/139-393,0.356
UniRef100_UPI0030802B1E/139-393,0.356
UniRef100_UPI000E45DF11/139-393,0.356
UniRef100_UPI000E462BA9/139-393,0.356
UniRef100_UPI0023ED7AE8/139-393,0.356
UniRef100_UPI001447CFD5/144-398,0.356
UniRef100_UPI003080EE34/139-393,0.356
UniRef100_UPI00189FC401/139-393,0.356
UniRef100_UPI00189EB75B/139-393,0.356
UniRef100_UPI0009B4D9D8/139-393,0.349
UniRef100_UPI002E7C86CC/139-393,0.356
UniRef100_UPI003080F074/139-393,0.356
UniRef100_UPI00189DD296/144-398,0.356
UniRef100_UPI00189CFC18/144-398,0.356
UniRef100_UPI0020D14D5F/139-393,0.356
UniRef100_UPI001444EAEA/164-418,0.356
UniRef100_A0A091U211/77-326,0.395
UniRef100_UPI0024C3F0A9/223-473,0.402
UniRef100_UPI0023EB9229/139-393,0.356
UniRef100_UPI003080AC77/139-393,0.356
UniRef100_UPI00189EA85C/139-393,0.356
UniRef100_UPI003080FD01/139-393,0.356
UniRef100_UPI00189E1F3A/164-418,0.356
UniRef100_UPI00189FE8DA/164-418,0.356
UniRef100_UPI0009B3ED5B/164-418,0.349
UniRef100_UPI00214F2E61/139-393,0.356
UniRef100_UPI0020D08629/139-393,0.356
UniRef100_UPI00189FED7F/144-398,0.356
UniRef100_UPI0009B424C9/144-398,0.349
UniRef100_UPI0020D168AC/139-393,0.356
UniRef100_UPI00214F44F3/139-393,0.356
UniRef100_UPI0020D1B735/139-393,0.356
UniRef100_UPI0020D18906/139-393,0.356
UniRef100_UPI00189EE334/164-418,0.356
UniRef100_UPI00189EF93C/164-418,0.356
UniRef100_UPI00189FABB1/164-418,0.356
UniRef100_UPI0014480C60/164-418,0.356
UniRef100_UPI00189D354E/164-418,0.356
UniRef100_UPI0009B32147/164-418,0.349
UniRef100_UPI0009B3A95F/164-418,0.349
UniRef100_UPI0018A07571/164-418,0.356
UniRef100_UPI0018A00498/164-418,0.356
UniRef100_UPI0009B31ACC/164-418,0.349
UniRef100_UPI0023EADFDB/139-393,0.356
UniRef100_UPI001AAD9B59/218-468,0.402
UniRef100_A0A8J0T918/199-448,0.395
UniRef100_UPI0009B408D6/139-393,0.349
UniRef100_A0A7N6AZ73/144-398,0.356
UniRef100_UPI00144873D4/164-418,0.356
UniRef100_UPI0009B3834D/139-393,0.349
UniRef100_UPI0009B39B28/139-393,0.349
UniRef100_UPI001ABE3910/227-476,0.395
UniRef100_A0A3Q3JTP1/144-398,0.349
UniRef100_UPI0009B2E679/139-393,0.349
UniRef100_UPI0009B46560/164-418,0.349
UniRef100_UPI0009B32419/144-398,0.349
UniRef100_UPI0023EE1881/139-393,0.356
UniRef100_UPI0014468C7B/164-418,0.356
UniRef100_UPI0023ECBE4E/139-393,0.356
UniRef100_UPI0009B38984/164-418,0.349
UniRef100_UPI0009B4879B/164-418,0.349
UniRef100_A0A3Q3QZG1/164-418,0.349
UniRef100_UPI0009B39AB6/164-418,0.349
UniRef100_A0A3Q3NBQ2/128-382,0.360
UniRef100_UPI0023EC1EE0/139-393,0.356
UniRef100_UPI0023ED5F9D/139-393,0.356
UniRef100_A0A3Q3JTH9/164-418,0.349
UniRef100_A0A3Q3JTF9/164-418,0.349
UniRef100_K7FQ42/209-458,0.398
UniRef100_UPI0027DFE544/139-393,0.356
UniRef100_G1P822/11-260,0.395
UniRef100_A0A7N8X676/128-382,0.360
UniRef100_A0A8J1MSP2/218-468,0.395
UniRef100_UPI0014481643/139-393,0.356
UniRef100_UPI0020D01793/139-393,0.356
UniRef100_UPI0014457521/144-398,0.356
UniRef100_UPI0014487C87/139-393,0.356
UniRef100_UPI0020D0472E/139-393,0.356
UniRef100_A0A974C5G2/227-476,0.395
UniRef100_UPI00214EFC8F/139-393,0.356
UniRef100_UPI001444E821/144-398,0.356
UniRef100_UPI001447A506/144-398,0.356
UniRef100_A0A3Q1I907/127-381,0.356
UniRef100_A0A974D9C4/222-472,0.395
UniRef100_UPI0014467387/164-418,0.356
UniRef100_UPI00214F5C27/139-393,0.356
UniRef100_UPI0020D1426E/139-393,0.356
UniRef100_UPI000CCC278D/15-264,0.395
UniRef100_A0A3Q3SZ74/136-390,0.360
UniRef100_A0A3Q1IF54/120-374,0.356
UniRef100_UPI0014466285/164-418,0.356
UniRef100_UPI001446FB86/164-418,0.356
UniRef100_Q8JGW6/227-476,0.395
UniRef100_K7FQ57/227-476,0.398
UniRef100_UPI000E454FBF/139-393,0.356
UniRef100_UPI0014471297/164-418,0.356
UniRef100_A0A3Q1JMY6/128-382,0.356
UniRef100_A0A7N6B956/144-398,0.356
UniRef100_A0A803J677/199-448,0.391
UniRef100_UPI000E457747/139-393,0.356
UniRef100_UPI00144796AA/164-418,0.356
UniRef100_UPI000E460447/139-393,0.356
UniRef100_UPI0018E6E891/209-458,0.395
UniRef100_A0A4D9EEB6/209-458,0.395
UniRef100_A0A8C3I8J8/209-458,0.395
UniRef100_UPI002E139D08/176-430,0.360
UniRef100_A0A3Q1I900/144-398,0.356
UniRef100_A0A7N6BTV6/144-398,0.356
UniRef100_A0A7N6AIE9/139-393,0.356
UniRef100_UPI000E455448/139-393,0.356
UniRef100_A0A7N6B6Q1/144-398,0.356
UniRef100_UPI0014480699/139-393,0.356
UniRef100_UPI0020D15450/139-393,0.356
UniRef100_UPI00214E00AE/139-393,0.356
UniRef100_UPI0020D03EAF/139-393,0.356
UniRef100_A0A7K7J4Z2/227-476,0.395
UniRef100_UPI001471C280/144-398,0.356
UniRef100_UPI001CE084E2/144-398,0.352
UniRef100_UPI000CE6464C/214-463,0.395
UniRef100_UPI00144874CA/139-393,0.356
UniRef100_UPI001446000B/139-393,0.356
UniRef100_UPI0020D1D979/139-393,0.356
UniRef100_UPI0020D07718/139-393,0.356
UniRef100_UPI001ED7DFA5/144-398,0.349
UniRef100_UPI001CE14243/164-418,0.352
UniRef100_UPI001445E48E/144-398,0.356
UniRef100_UPI001ED8244E/144-398,0.349
UniRef100_UPI001445703B/144-398,0.356
UniRef100_UPI001445244A/139-393,0.356
UniRef100_A0A9N7Z2D4/139-393,0.356
UniRef100_A0A3Q1I916/132-386,0.356
UniRef100_UPI001447161D/164-418,0.356
UniRef100_UPI0014484C50/164-418,0.356
UniRef100_UPI001444EF4B/144-398,0.356
UniRef100_UPI001ED8004A/139-393,0.349
UniRef100_UPI001445008B/164-418,0.356
UniRef100_UPI001CE037BC/164-418,0.352
UniRef100_UPI0014463323/164-418,0.356
UniRef100_UPI001445AE67/164-418,0.356
UniRef100_UPI0014471F4E/164-418,0.356
UniRef100_UPI001CE19C31/164-418,0.352
UniRef100_UPI001ED84F76/144-398,0.349
UniRef100_UPI001CE02D4E/164-418,0.352
UniRef100_UPI001CE2228E/164-418,0.352
UniRef100_UPI000E461F90/139-393,0.356
UniRef100_UPI00144526CF/159-413,0.356
UniRef100_UPI001446CFE4/164-418,0.356
UniRef100_UPI0014463351/164-418,0.356
UniRef100_UPI0011452DB6/144-398,0.356
UniRef100_UPI001CE20CAA/164-418,0.352
UniRef100_A0A674PRH8/131-385,0.356
UniRef100_M7BG89/227-476,0.395
UniRef100_UPI001A9A1593/139-393,0.352
UniRef100_A0A9D4B2R7/227-476,0.395
UniRef100_A0A7N8XN48/128-382,0.360
UniRef100_UPI0018A21E77/227-476,0.395
UniRef100_UPI001CE1C608/164-418,0.352
UniRef100_UPI0018ED9D41/144-398,0.352
UniRef100_A0A6J2PH07/144-398,0.356
UniRef100_UPI0018EA8835/144-398,0.352
UniRef100_UPI001643EC6F/139-393,0.356
UniRef100_UPI0021F8C921/199-448,0.395
UniRef100_A0A7L3CR26/128-377,0.395
UniRef100_UPI0016438278/144-398,0.356
UniRef100_UPI001E8DA33B/144-398,0.352
UniRef100_UPI0018ED34B4/144-398,0.352
UniRef100_UPI001CE08F7B/164-418,0.352
UniRef100_UPI001CE0DCF4/139-393,0.352
UniRef100_UPI001E8E6B7A/144-398,0.352
UniRef100_UPI0018EE0D8E/144-398,0.352
UniRef100_UPI001CE17E74/164-418,0.352
UniRef100_A0A7K4JYD1/131-380,0.395
UniRef100_A0A7L2Q2C7/131-380,0.395
UniRef100_UPI001CE1FABA/164-418,0.352
UniRef100_UPI001CE0817E/164-418,0.352
UniRef100_A0A7L3LY55/131-380,0.395
UniRef100_A0A7N8XR33/128-382,0.360
UniRef100_UPI0018EB072E/144-398,0.352
UniRef100_A0A8C0ZAG7/135-384,0.395
UniRef100_UPI001A9897F6/139-393,0.352
UniRef100_UPI000523EA66/209-458,0.395
UniRef100_A0A3P9I393/133-387,0.356
UniRef100_UPI001CE0CBEE/164-418,0.352
UniRef100_UPI001A996D92/139-393,0.352
UniRef100_UPI002E0E3894/176-430,0.360
UniRef100_UPI001A991F93/139-393,0.352
UniRef100_UPI001145AD69/144-398,0.356
UniRef100_UPI0011457842/144-398,0.356
UniRef100_A0A3Q3N9U2/141-395,0.360
UniRef100_A0A8D0HPU8/227-476,0.391
UniRef100_A0A674MLY5/144-398,0.356
UniRef100_UPI0011457E57/144-398,0.356
UniRef100_UPI0018EB43A0/144-398,0.352
UniRef100_H2LPV9/133-387,0.356
UniRef100_UPI0011EA6028/4-253,0.395
UniRef100_UPI0018EC92BC/144-398,0.352
UniRef100_UPI001145DE82/139-393,0.356
UniRef100_UPI001F0829E6/151-405,0.360
UniRef100_UPI002E12ED15/151-405,0.360
UniRef100_UPI0011452CD2/144-398,0.356
UniRef100_UPI002E0F6B02/156-410,0.360
UniRef100_UPI002E0EAF8F/176-430,0.360
UniRef100_UPI001F076034/151-405,0.360
UniRef100_UPI0018EC0428/139-393,0.352
UniRef100_A0A673CDS4/138-392,0.356
UniRef100_UPI0018ED4785/144-398,0.352
UniRef100_UPI002E15BF96/164-418,0.360
UniRef100_A0A673CDY1/134-388,0.356
UniRef100_A0A7N8YGB4/168-422,0.360
UniRef100_A0A674MR73/138-392,0.356
UniRef100_A0A7N9AUL3/146-400,0.360
UniRef100_UPI002E0FEF8C/176-430,0.360
UniRef100_A0A7N8XCQ9/147-401,0.360
UniRef100_A0A7N8X969/128-382,0.360
UniRef100_UPI001ED85E79/139-393,0.349
UniRef100_UPI001ED7DBE5/144-398,0.349
UniRef100_UPI001F07E78A/156-410,0.360
UniRef100_UPI000E45C9B5/164-418,0.360
UniRef100_UPI001ED7D7C9/139-393,0.349
UniRef100_UPI001BEC4578/139-393,0.352
UniRef100_UPI001ED808E4/144-398,0.349
UniRef100_A0A5G3JRQ5/212-461,0.391
UniRef100_UPI002DBC1EDC/139-393,0.356
UniRef100_UPI001BE53F59/139-393,0.352
UniRef100_UPI001145484B/139-393,0.356
UniRef100_A0A674NJ02/144-398,0.356
UniRef100_UPI000523BA20/227-476,0.395
UniRef100_UPI001A945F7D/149-398,0.395
UniRef100_A0A7K7V0K7/227-476,0.395
UniRef100_UPI001145FEAB/139-393,0.356
UniRef100_A0A674MLA2/139-393,0.356
UniRef100_A0A3B5BI13/102-356,0.356
UniRef100_L5L3M9/178-428,0.391
UniRef100_A0A6P7HYT5/139-393,0.356
UniRef100_UPI001C053816/144-398,0.356
UniRef100_A0A674N9M2/196-450,0.356
UniRef100_A0A674PG50/144-398,0.356
UniRef100_UPI001C03DC21/159-413,0.356
UniRef100_A0A674NKM2/144-398,0.356
UniRef100_UPI001A7F0FA0/144-398,0.360
UniRef100_UPI002410C5A9/164-418,0.356
UniRef100_UPI0019532BB2/139-393,0.356
UniRef100_UPI001CE211DE/139-393,0.352
UniRef100_A0A8C5M0N2/160-410,0.398
UniRef100_A0A6P7I2I6/144-398,0.356
UniRef100_UPI0011460974/139-393,0.356
UniRef100_UPI0012BD2A6A/139-393,0.356
UniRef100_UPI001CE1C416/144-398,0.352
UniRef100_A0A6J2PFL4/139-393,0.356
UniRef100_A0A674MP54/144-398,0.356
UniRef100_UPI00117F4070/144-398,0.356
UniRef100_A0A6P7I794/163-417,0.356
UniRef100_UPI001CE1F97D/139-393,0.352
UniRef100_UPI001145F605/139-393,0.356
UniRef100_A0A850W3K2/177-426,0.395
UniRef100_UPI002410E5EC/164-418,0.356
UniRef100_UPI001CE162A7/144-398,0.352
UniRef100_UPI0011460BF3/144-398,0.356
UniRef100_A0A6J2PI81/139-393,0.356
UniRef100_UPI0003C11F46/127-377,0.395
UniRef100_UPI0012BBF10C/139-393,0.356
UniRef100_A0A6P7I2H2/163-417,0.356
UniRef100_UPI00117E2217/164-418,0.356
UniRef100_A0A6P7HSV4/163-417,0.356
UniRef100_UPI002FE5471A/139-393,0.356
UniRef100_UPI000901A153/144-398,0.352
UniRef100_H3AZZ1/129-379,0.395
UniRef100_UPI0004F41782/180-429,0.395
UniRef100_UPI001145D708/144-398,0.356
UniRef100_UPI001F027DE8/180-429,0.395
UniRef100_A0A3Q1FU23/65-319,0.356
UniRef100_UPI00117D1AA9/164-418,0.356
UniRef100_UPI00189F8DF2/207-456,0.395
UniRef100_UPI000901C3B3/144-398,0.352
UniRef100_A0A3B3HY27/139-393,0.356
UniRef100_A0A8V1AIN0/181-430,0.395
UniRef100_A0A9Y3RH33/164-418,0.356
UniRef100_UPI002DC0627E/139-393,0.356
UniRef100_UPI001CE106AB/144-398,0.352
UniRef100_A0A6J2PHR0/144-398,0.356
UniRef100_UPI001ED834EE/139-393,0.349
UniRef100_A0A3Q0S9G2/137-391,0.356
UniRef100_UPI000E406F5D/144-398,0.356
UniRef100_UPI001ED84B1B/139-393,0.349
UniRef100_A0A3B3H3B1/144-398,0.356
UniRef100_UPI001C054C94/139-393,0.356
UniRef100_UPI000DF256B2/144-398,0.356
UniRef100_UPI0006470D80/164-418,0.356
UniRef100_UPI001ED846B3/144-398,0.349
UniRef100_UPI001CE20061/164-418,0.352
UniRef100_UPI000C24528D/144-398,0.356
UniRef100_UPI001C2CD582/144-398,0.356
UniRef100_UPI0025A4E353/159-413,0.364
UniRef100_UPI000DF32A34/164-418,0.356
UniRef100_UPI000901522D/144-398,0.352
UniRef100_UPI000900F51D/144-398,0.352
UniRef100_UPI0009DA0F10/139-393,0.356
UniRef100_A0A3P9JGJ3/139-393,0.356
UniRef100_UPI001ED7F7F6/139-393,0.349
UniRef100_UPI000E41715D/164-418,0.356
UniRef100_UPI000DF13185/164-418,0.356
UniRef100_UPI001ED8560A/139-393,0.349
UniRef100_UPI00117DA890/164-418,0.356
UniRef100_UPI000647145F/164-418,0.356
UniRef100_A0A8C7Z813/139-393,0.356
UniRef100_A0A663N120/184-433,0.395
UniRef100_A0A3P9I3G8/144-398,0.356
UniRef100_UPI002405E878/160-414,0.356
UniRef100_UPI001C051CF9/139-393,0.356
UniRef100_UPI0025A58D8D/159-413,0.364
UniRef100_A0A3B3I165/144-398,0.356
UniRef100_UPI002FE693E0/164-418,0.356
UniRef100_A0A7K4YEU7/227-476,0.391
UniRef100_UPI0025A58409/159-413,0.364
UniRef100_UPI001C03C29B/139-393,0.356
UniRef100_UPI00189E1100/209-458,0.395
UniRef100_UPI001ED7E8ED/144-398,0.349
UniRef100_UPI001CE0328A/164-418,0.352
UniRef100_A0A9Y3RBC8/164-418,0.356
UniRef100_UPI001C2D65B4/164-418,0.356
UniRef100_UPI0024116DAE/164-418,0.356
UniRef100_UPI002FE5C912/164-418,0.356
UniRef100_UPI001C05215E/144-398,0.356
UniRef100_UPI001CE07E62/164-418,0.352
UniRef100_UPI00117CD8A0/164-418,0.356
UniRef100_UPI002AD3104E/139-393,0.360
UniRef100_UPI001C043E30/144-398,0.356
UniRef100_UPI001CE23215/164-418,0.352
UniRef100_UPI00117CAC9F/164-418,0.356
UniRef100_UPI001A7E3648/164-418,0.360
UniRef100_A0A6P7I7A9/139-393,0.356
UniRef100_UPI001C051026/159-413,0.356
UniRef100_UPI0025A57882/159-413,0.364
UniRef100_UPI002FE660C1/139-393,0.356
UniRef100_UPI0012BC80A5/139-393,0.356
UniRef100_A0A8C5IU29/186-435,0.395
UniRef100_A0A3P9LER0/98-352,0.356
UniRef100_A0A3Q1BEW9/124-378,0.356
UniRef100_UPI000E42642F/164-418,0.356
UniRef100_UPI0024114E1D/139-393,0.356
UniRef100_UPI0025A5E066/159-413,0.364
UniRef100_UPI000DF1FE8D/164-418,0.356
UniRef100_UPI0009DB2424/144-398,0.356
UniRef100_UPI001C05029F/139-393,0.356
UniRef100_UPI002410BA0D/164-418,0.356
UniRef100_A0A3P8S7D8/128-382,0.356
UniRef100_UPI000E423BFD/164-418,0.356
UniRef100_A0A3P8NB22/124-378,0.356
UniRef100_A0A1B0CMG6/387-637,0.276
UniRef100_UPI001A7E9D13/139-393,0.360
UniRef100_UPI000C2506A4/164-418,0.356
UniRef100_A0A6J3E4U0/190-439,0.395
UniRef100_UPI001C0477F7/144-398,0.356
UniRef100_A0A6P7I7A2/139-393,0.356
UniRef100_UPI001A7EC9BF/164-418,0.360
UniRef100_UPI002FE6102C/164-418,0.356
UniRef100_A0A3Q4HPY9/127-381,0.356
UniRef100_A0A6P7IEI9/139-393,0.356
UniRef100_UPI0024118AF3/164-418,0.356
UniRef100_UPI001C052B66/159-413,0.356
UniRef100_UPI0024116FC6/164-418,0.356
UniRef100_A0A7L3NLM6/183-432,0.395
UniRef100_UPI001CE04460/139-393,0.352
UniRef100_A0A6P7HSW8/144-398,0.356
UniRef100_UPI0025AE1ECB/160-414,0.356
UniRef100_UPI0009D9589B/164-418,0.356
UniRef100_A0A6P7I2G7/144-398,0.356
UniRef100_UPI0005BDEA90/193-443,0.391
UniRef100_UPI000CE1968E/164-418,0.356
UniRef100_UPI0018EAA222/139-393,0.352
UniRef100_UPI00118021B4/164-418,0.356
UniRef100_UPI001A7EA22C/164-418,0.360
UniRef100_UPI002AD4F6BF/139-393,0.360
UniRef100_A0A668W6N3/130-384,0.356
UniRef100_A0A8D0ANC4/125-379,0.352
UniRef100_UPI002AD40ACE/139-393,0.360
UniRef100_UPI0015E110B9/144-398,0.352
UniRef100_UPI0018EB8F6E/144-398,0.352
UniRef100_UPI002AD50351/139-393,0.360
UniRef100_UPI0025A50CD9/159-413,0.364
UniRef100_UPI0011EA5FF8/17-266,0.395
UniRef100_UPI0012BC8CAC/139-393,0.356
UniRef100_UPI0015E0CED7/144-398,0.352
UniRef100_A0A6P7HYR8/163-417,0.356
UniRef100_UPI002404F4CF/160-414,0.356
UniRef100_UPI001CE0A833/139-393,0.352
UniRef100_A0A6P7HSU9/163-417,0.356
UniRef100_UPI001C04CCFE/159-413,0.356
UniRef100_UPI001CE12C77/139-393,0.352
UniRef100_UPI0015E23C96/144-398,0.352
UniRef100_UPI0018ED0BF3/139-393,0.352
UniRef100_UPI001B3A9685/144-398,0.352
UniRef100_UPI000CE23739/164-418,0.356
UniRef100_UPI0009DB6A59/164-418,0.356
UniRef100_UPI001CE131EC/144-398,0.352
UniRef100_A0A6P3RRR7/197-447,0.391
UniRef100_UPI001CE174ED/144-398,0.352
UniRef100_UPI0025497744/144-393,0.395
UniRef100_UPI0015E1CAA8/144-398,0.352
UniRef100_UPI002404FD20/160-414,0.356
UniRef100_UPI0018EB0745/144-398,0.352
UniRef100_UPI000F5E1E83/144-398,0.352
UniRef100_UPI00241104B2/164-418,0.356
UniRef100_UPI0018EB9690/144-398,0.352
UniRef100_UPI001B3AF12D/144-398,0.352
UniRef100_UPI002234E85A/164-418,0.356
UniRef100_UPI0025AE81A0/160-414,0.356
UniRef100_A0A6P7IEI4/163-417,0.356
UniRef100_A0A8C7ZDB9/139-393,0.356
